,Location,Indicator,Value,SurveyYearLabel,ind1,periode,sex,year,indicateur
1366,Grande-Anse/Nippes,Recent sexual activity: Active in last 4 weeks,48.9,2016-17,Recent sexual activity, Active in last 4 weeks,,2016,Recent sexual activity
1367,Grande-Anse,Recent sexual activity: Active in last 4 weeks,49.2,2016-17,Recent sexual activity, Active in last 4 weeks,,2016,Recent sexual activity
1368,Nippes,Recent sexual activity: Active in last 4 weeks,48.5,2016-17,Recent sexual activity, Active in last 4 weeks,,2016,Recent sexual activity
1369,North-West,Recent sexual activity: Active in last 4 weeks,45.9,2016-17,Recent sexual activity, Active in last 4 weeks,,2016,Recent sexual activity
1370,Metropolitan area,Recent sexual activity [Women]: Within the last year,26.2,2016-17,Recent sexual activity [Women], Within the last year,Women,2016,Recent sexual activity 
1371,Rest of West,Recent sexual activity [Women]: Within the last year,25.6,2016-17,Recent sexual activity [Women], Within the last year,Women,2016,Recent sexual activity 
1372,South-East,Recent sexual activity [Women]: Within the last year,29.8,2016-17,Recent sexual activity [Women], Within the last year,Women,2016,Recent sexual activity 
1373,North,Recent sexual activity [Women]: Within the last year,22.2,2016-17,Recent sexual activity [Women], Within the last year,Women,2016,Recent sexual activity 
1374,North-East,Recent sexual activity [Women]: Within the last year,21.7,2016-17,Recent sexual activity [Women], Within the last year,Women,2016,Recent sexual activity 
1375,Artibonite,Recent sexual activity [Women]: Within the last year,24.7,2016-17,Recent sexual activity [Women], Within the last year,Women,2016,Recent sexual activity 
1376,Centre,Recent sexual activity [Women]: Within the last year,23.1,2016-17,Recent sexual activity [Women], Within the last year,Women,2016,Recent sexual activity 
1377,South,Recent sexual activity [Women]: Within the last year,27.0,2016-17,Recent sexual activity [Women], Within the last year,Women,2016,Recent sexual activity 
1378,Grande-Anse/Nippes,Recent sexual activity [Women]: Within the last year,25.6,2016-17,Recent sexual activity [Women], Within the last year,Women,2016,Recent sexual activity 
1379,Grande-Anse,Recent sexual activity [Women]: Within the last year,25.3,2016-17,Recent sexual activity [Women], Within the last year,Women,2016,Recent sexual activity 
1380,Nippes,Recent sexual activity [Women]: Within the last year,26.0,2016-17,Recent sexual activity [Women], Within the last year,Women,2016,Recent sexual activity 
1381,North-West,Recent sexual activity [Women]: Within the last year,26.4,2016-17,Recent sexual activity [Women], Within the last year,Women,2016,Recent sexual activity 
1382,Metropolitan area,Recent sexual activity [Women]: One or more years ago,13.5,2016-17,Recent sexual activity [Women], One or more years ago,Women,2016,Recent sexual activity 
1383,Rest of West,Recent sexual activity [Women]: One or more years ago,11.2,2016-17,Recent sexual activity [Women], One or more years ago,Women,2016,Recent sexual activity 
1384,South-East,Recent sexual activity [Women]: One or more years ago,7.6,2016-17,Recent sexual activity [Women], One or more years ago,Women,2016,Recent sexual activity 
1385,North,Recent sexual activity [Women]: One or more years ago,11.4,2016-17,Recent sexual activity [Women], One or more years ago,Women,2016,Recent sexual activity 
1386,North-East,Recent sexual activity [Women]: One or more years ago,8.7,2016-17,Recent sexual activity [Women], One or more years ago,Women,2016,Recent sexual activity 
1387,Artibonite,Recent sexual activity [Women]: One or more years ago,12.1,2016-17,Recent sexual activity [Women], One or more years ago,Women,2016,Recent sexual activity 
1388,Centre,Recent sexual activity [Women]: One or more years ago,9.9,2016-17,Recent sexual activity [Women], One or more years ago,Women,2016,Recent sexual activity 
1389,South,Recent sexual activity [Women]: One or more years ago,12.1,2016-17,Recent sexual activity [Women], One or more years ago,Women,2016,Recent sexual activity 
1390,Grande-Anse/Nippes,Recent sexual activity [Women]: One or more years ago,10.1,2016-17,Recent sexual activity [Women], One or more years ago,Women,2016,Recent sexual activity 
1391,Grande-Anse,Recent sexual activity [Women]: One or more years ago,10.1,2016-17,Recent sexual activity [Women], One or more years ago,Women,2016,Recent sexual activity 
1392,Nippes,Recent sexual activity [Women]: One or more years ago,10.0,2016-17,Recent sexual activity [Women], One or more years ago,Women,2016,Recent sexual activity 
1393,North-West,Recent sexual activity [Women]: One or more years ago,10.6,2016-17,Recent sexual activity [Women], One or more years ago,Women,2016,Recent sexual activity 
1394,Metropolitan area,Recent sexual activity: Never had sex,16.5,2016-17,Recent sexual activity, Never had sex,,2016,Recent sexual activity
1395,Rest of West,Recent sexual activity: Never had sex,16.5,2016-17,Recent sexual activity, Never had sex,,2016,Recent sexual activity
1396,South-East,Recent sexual activity: Never had sex,20.0,2016-17,Recent sexual activity, Never had sex,,2016,Recent sexual activity
1397,North,Recent sexual activity: Never had sex,18.3,2016-17,Recent sexual activity, Never had sex,,2016,Recent sexual activity
1398,North-East,Recent sexual activity: Never had sex,20.2,2016-17,Recent sexual activity, Never had sex,,2016,Recent sexual activity
1399,Artibonite,Recent sexual activity: Never had sex,17.7,2016-17,Recent sexual activity, Never had sex,,2016,Recent sexual activity
1400,Centre,Recent sexual activity: Never had sex,17.5,2016-17,Recent sexual activity, Never had sex,,2016,Recent sexual activity
1401,South,Recent sexual activity: Never had sex,16.9,2016-17,Recent sexual activity, Never had sex,,2016,Recent sexual activity
1402,Grande-Anse/Nippes,Recent sexual activity: Never had sex,15.5,2016-17,Recent sexual activity, Never had sex,,2016,Recent sexual activity
1403,Grande-Anse,Recent sexual activity: Never had sex,15.4,2016-17,Recent sexual activity, Never had sex,,2016,Recent sexual activity
1404,Nippes,Recent sexual activity: Never had sex,15.5,2016-17,Recent sexual activity, Never had sex,,2016,Recent sexual activity
1405,North-West,Recent sexual activity: Never had sex,17.1,2016-17,Recent sexual activity, Never had sex,,2016,Recent sexual activity
1406,Metropolitan area,Women: Total,100.0,2016-17,Women, Total,,2016,Women
1407,Rest of West,Women: Total,100.0,2016-17,Women, Total,,2016,Women
1408,South-East,Women: Total,100.0,2016-17,Women, Total,,2016,Women
1409,North,Women: Total,100.0,2016-17,Women, Total,,2016,Women
1410,North-East,Women: Total,100.0,2016-17,Women, Total,,2016,Women
1411,Artibonite,Women: Total,100.0,2016-17,Women, Total,,2016,Women
1412,Centre,Women: Total,100.0,2016-17,Women, Total,,2016,Women
1413,South,Women: Total,100.0,2016-17,Women, Total,,2016,Women
1414,Grande-Anse/Nippes,Women: Total,100.0,2016-17,Women, Total,,2016,Women
1415,Grande-Anse,Women: Total,100.0,2016-17,Women, Total,,2016,Women
1416,Nippes,Women: Total,100.0,2016-17,Women, Total,,2016,Women
1417,North-West,Women: Total,100.0,2016-17,Women, Total,,2016,Women
1418,Metropolitan area,Number of women,3632.0,2016-17,Number of women,,,2016,Number of women
1419,Rest of West,Number of women,2285.0,2016-17,Number of women,,,2016,Number of women
1420,South-East,Number of women,756.0,2016-17,Number of women,,,2016,Number of women
1421,North,Number of women,1559.0,2016-17,Number of women,,,2016,Number of women
1422,North-East,Number of women,516.0,2016-17,Number of women,,,2016,Number of women
1423,Artibonite,Number of women,2090.0,2016-17,Number of women,,,2016,Number of women
1424,Centre,Number of women,918.0,2016-17,Number of women,,,2016,Number of women
1425,South,Number of women,951.0,2016-17,Number of women,,,2016,Number of women
1426,Grande-Anse/Nippes,Number of women,960.0,2016-17,Number of women,,,2016,Number of women
1427,Grande-Anse,Number of women,532.0,2016-17,Number of women,,,2016,Number of women
1428,Nippes,Number of women,427.0,2016-17,Number of women,,,2016,Number of women
1429,North-West,Number of women,703.0,2016-17,Number of women,,,2016,Number of women
1430,Metropolitan area,Number of women (unweighted),2097.0,2016-17,Number of women (unweighted),,,2016,Number of women (unweighted)
1431,Rest of West,Number of women (unweighted),1388.0,2016-17,Number of women (unweighted),,,2016,Number of women (unweighted)
1432,South-East,Number of women (unweighted),1027.0,2016-17,Number of women (unweighted),,,2016,Number of women (unweighted)
1433,North,Number of women (unweighted),1444.0,2016-17,Number of women (unweighted),,,2016,Number of women (unweighted)
1434,North-East,Number of women (unweighted),1096.0,2016-17,Number of women (unweighted),,,2016,Number of women (unweighted)
1435,Artibonite,Number of women (unweighted),1748.0,2016-17,Number of women (unweighted),,,2016,Number of women (unweighted)
1436,Centre,Number of women (unweighted),1128.0,2016-17,Number of women (unweighted),,,2016,Number of women (unweighted)
1437,South,Number of women (unweighted),1172.0,2016-17,Number of women (unweighted),,,2016,Number of women (unweighted)
1438,Grande-Anse/Nippes,Number of women (unweighted),1824.0,2016-17,Number of women (unweighted),,,2016,Number of women (unweighted)
1439,Grande-Anse,Number of women (unweighted),941.0,2016-17,Number of women (unweighted),,,2016,Number of women (unweighted)
1440,Nippes,Number of women (unweighted),883.0,2016-17,Number of women (unweighted),,,2016,Number of women (unweighted)
1441,North-West,Number of women (unweighted),1447.0,2016-17,Number of women (unweighted),,,2016,Number of women (unweighted)
1442,Metropolitan area,Recent sexual activity [Men]: Active 4 Weeks,61.4,2016-17,Recent sexual activity [Men], Active 4 Weeks,Men,2016,Recent sexual activity 
1443,Rest of West,Recent sexual activity [Men]: Active 4 Weeks,59.5,2016-17,Recent sexual activity [Men], Active 4 Weeks,Men,2016,Recent sexual activity 
1444,South-East,Recent sexual activity [Men]: Active 4 Weeks,54.8,2016-17,Recent sexual activity [Men], Active 4 Weeks,Men,2016,Recent sexual activity 
1445,North,Recent sexual activity [Men]: Active 4 Weeks,57.8,2016-17,Recent sexual activity [Men], Active 4 Weeks,Men,2016,Recent sexual activity 
1446,North-East,Recent sexual activity [Men]: Active 4 Weeks,61.8,2016-17,Recent sexual activity [Men], Active 4 Weeks,Men,2016,Recent sexual activity 
1447,Artibonite,Recent sexual activity [Men]: Active 4 Weeks,57.8,2016-17,Recent sexual activity [Men], Active 4 Weeks,Men,2016,Recent sexual activity 
1448,Centre,Recent sexual activity [Men]: Active 4 Weeks,54.7,2016-17,Recent sexual activity [Men], Active 4 Weeks,Men,2016,Recent sexual activity 
1449,South,Recent sexual activity [Men]: Active 4 Weeks,52.4,2016-17,Recent sexual activity [Men], Active 4 Weeks,Men,2016,Recent sexual activity 
1450,Grande-Anse/Nippes,Recent sexual activity [Men]: Active 4 Weeks,52.7,2016-17,Recent sexual activity [Men], Active 4 Weeks,Men,2016,Recent sexual activity 
1451,Grande-Anse,Recent sexual activity [Men]: Active 4 Weeks,51.6,2016-17,Recent sexual activity [Men], Active 4 Weeks,Men,2016,Recent sexual activity 
1452,Nippes,Recent sexual activity [Men]: Active 4 Weeks,54.1,2016-17,Recent sexual activity [Men], Active 4 Weeks,Men,2016,Recent sexual activity 
1453,North-West,Recent sexual activity [Men]: Active 4 Weeks,54.5,2016-17,Recent sexual activity [Men], Active 4 Weeks,Men,2016,Recent sexual activity 
1454,Metropolitan area,Recent sexual activity [Men]: Within the last year,20.8,2016-17,Recent sexual activity [Men], Within the last year,Men,2016,Recent sexual activity 
1455,Rest of West,Recent sexual activity [Men]: Within the last year,19.2,2016-17,Recent sexual activity [Men], Within the last year,Men,2016,Recent sexual activity 
1456,South-East,Recent sexual activity [Men]: Within the last year,19.4,2016-17,Recent sexual activity [Men], Within the last year,Men,2016,Recent sexual activity 
1457,North,Recent sexual activity [Men]: Within the last year,23.3,2016-17,Recent sexual activity [Men], Within the last year,Men,2016,Recent sexual activity 
1458,North-East,Recent sexual activity [Men]: Within the last year,18.6,2016-17,Recent sexual activity [Men], Within the last year,Men,2016,Recent sexual activity 
1459,Artibonite,Recent sexual activity [Men]: Within the last year,16.9,2016-17,Recent sexual activity [Men], Within the last year,Men,2016,Recent sexual activity 
1460,Centre,Recent sexual activity [Men]: Within the last year,23.3,2016-17,Recent sexual activity [Men], Within the last year,Men,2016,Recent sexual activity 
1461,South,Recent sexual activity [Men]: Within the last year,25.1,2016-17,Recent sexual activity [Men], Within the last year,Men,2016,Recent sexual activity 
1462,Grande-Anse/Nippes,Recent sexual activity [Men]: Within the last year,22.5,2016-17,Recent sexual activity [Men], Within the last year,Men,2016,Recent sexual activity 
1463,Grande-Anse,Recent sexual activity [Men]: Within the last year,21.4,2016-17,Recent sexual activity [Men], Within the last year,Men,2016,Recent sexual activity 
1464,Nippes,Recent sexual activity [Men]: Within the last year,23.9,2016-17,Recent sexual activity [Men], Within the last year,Men,2016,Recent sexual activity 
1465,North-West,Recent sexual activity [Men]: Within the last year,23.6,2016-17,Recent sexual activity [Men], Within the last year,Men,2016,Recent sexual activity 
1466,Metropolitan area,Recent sexual activity [Men]: One or more years ago,10.8,2016-17,Recent sexual activity [Men], One or more years ago,Men,2016,Recent sexual activity 
